,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
pf[13],0.7114528581923419,0.0006707095635165329,0.024625181775222316,0.6657355235652722,0.6946386304971242,0.7104841081614612,0.7282046537814015,0.7605817539274362,1348.0,1.0015178699882081
pf[14],0.5960974123912725,0.00042218304972169027,0.014806531963661777,0.5678268015122558,0.5860882285591664,0.5957202405761646,0.6056772488515909,0.6257743660233076,1230.0,1.0006921495214194
pf[15],0.5405482293406549,0.00021304004020102985,0.00987136607014727,0.5207922931006335,0.5337174499426381,0.5408554043483005,0.5474405415068488,0.5591286166679464,2147.0,1.0000907017011622
pf[16],0.5379859030204602,0.00023201528880265577,0.00997395920144835,0.519083891463892,0.5310449275446887,0.5377836082013245,0.5448423415175874,0.558250361903676,1848.0,1.0037013022370749
pf[17],0.8215744190317856,0.0007125375705502437,0.02901349394507454,0.7674515399845397,0.8016867764958904,0.8207620028310578,0.8407886340368247,0.8795987248110765,1658.0,1.00106992346195
pf[18],1.020805173344783,0.0011261383927361518,0.045896184327308055,0.9367201920128364,0.9895739649834365,1.0178727322795513,1.0493493746049383,1.1150323413520957,1661.0,1.0007925219651783
pf[19],0.6846687497462651,0.00038077018224208134,0.01752784040433422,0.650507807589449,0.673191291728485,0.6841318234147479,0.6961430731274252,0.7210167358527385,2119.0,1.0007086669696867
pf[20],0.5934603594651708,0.00033956838851203927,0.014269954988779303,0.5669523176480237,0.5834688213823807,0.5931313188044189,0.6028780231978927,0.6228754996556227,1766.0,1.0003644487018182
pf[21],0.6539048140757415,0.0006212724209901827,0.022742304726021585,0.6120933352261727,0.6382782009726315,0.6534639994352723,0.6684788542785088,0.7026117983694645,1340.0,1.0007784485917395
pf[22],0.8391253988480482,0.0007243389185096357,0.030066609636922183,0.7849479329364726,0.818164572317046,0.8371429857397925,0.8590453576744649,0.9013699355435427,1723.0,1.001669625203556
pf[23],0.6058610585326173,0.0004881284758960352,0.018054156072368543,0.5734732097552756,0.593363173992234,0.6045893131803697,0.6178550994427363,0.6427965759454024,1368.0,1.0007175603818572
pf[24],0.5080577352048168,0.00022759748702295567,0.010267144382047021,0.48823397598508,0.5009742412021496,0.5079607141033009,0.5148628942191786,0.5279314010811333,2035.0,1.0028222678497127
pf[25],0.5306588861099133,0.00024440947621142285,0.011456001682964555,0.5084570723734625,0.5227906663719009,0.5306629490073593,0.5383681669868896,0.5532738268520896,2197.0,1.0003825924359444
pf[26],0.6738440479739782,0.0007212183167614325,0.029189301111673328,0.6217761023040219,0.6532769554698927,0.671816565129324,0.6923112688920721,0.735176390600409,1638.0,1.0020604318164954
pf[27],0.5238702805585842,0.0003506946754200985,0.014531629604654466,0.49717573172578167,0.5138449897882902,0.5232784171333319,0.5337342182219005,0.5534722568897723,1717.0,1.001003513619183
pf[28],0.5899417300575226,0.00040228350266889476,0.016330926588048397,0.5602658828054312,0.5785100595523474,0.588841794418641,0.6006384755823456,0.6240905189281614,1648.0,0.999869986546834
pf[29],0.4883992254463625,0.0002136012127958028,0.009793097313040197,0.46965180130413386,0.4816667446374033,0.4883240757254013,0.49514643605134023,0.5079206375624353,2102.0,1.001143841695335
pf[30],0.5617864173746637,0.0003945358877159944,0.015183225522811367,0.5339714835280073,0.5515961963596765,0.5611158851245714,0.5715156161080759,0.593518433542275,1481.0,1.002174653422521
pf[31],0.8059230782496298,0.0008816200620659831,0.030781041979562367,0.7463400981427618,0.7847089147983843,0.805706991375294,0.8255845209351991,0.8681895625113856,1219.0,1.0028201853869223
pf[32],0.4772521810134167,0.0002061381872632492,0.0095782192449232,0.4585829822339309,0.47070097585461645,0.4774085184359216,0.4838839190727234,0.4955813732188281,2159.0,1.0004277040686549
